名稱	評分	評論數	價格區間	類型	分類	地區	備註
OVERVIEW COFFEE SETODA ROASTERY	3.9	58			餐廳	生口島?瀨戶田	咖啡烘焙廠
Monument to the Birthplace of Japan's Lemons	4.1	70		旅遊景點	景點	生口島?瀨戶田	
檸檬谷	4.1	289		景點	景點	生口島?瀨戶田	
Lemon Monster	4.3	75		旅遊景點	景點	生口島?瀨戶田	
?????????	4.2	131		雕塑	景點	生口島?瀨戶田	
Chidori	3.9	602	?1000-2000	食堂與定食餐廳	餐廳	生口島?瀨戶田	章魚餐廳
????商店街	3.9	84			景點	生口島?瀨戶田	商業園；商店街可以拍可愛的孔蓋
MINATOYA	4.2	193	?1000-2000	餐廳	餐廳	生口島?瀨戶田	Soil setoda的餐廳 晚餐早餐都棒
"HYAKKOYA -?????- 
世界????????????
 (?????????????門店)"	4.9	596	?1-1000	果汁	餐廳	生口島?瀨戶田	
Setodach? District Tourist Information Center	3.8	155		旅客中心	景點	生口島?瀨戶田	
Remon.Lab.Base	4.7	14		商店	伴手禮	生口島?瀨戶田	
名荷神社	4.2	18		神社	景點	生口島?瀨戶田	檸檬 跟 橘子御守
Kaneyoshi	4.1	307	?1000-2000	食堂與定食餐廳	餐廳	生口島?瀨戶田	星鰻很好吃
POP LEMON	4.7	61	?1-1000	咖啡店	餐廳	生口島?瀨戶田	限量版檸檬水售價800日元，但絕對物超所值
SOIL Setoda	4.4	243		3 星級飯店	其他	生口島?瀨戶田	
笑空	4.4	89	?1000-2000	蕎麥麵店	其他	生口島?瀨戶田	"手打蕎麥麵 可以拍 打這個字；
酸白菜豬肉蕎麥麵真的很推 
依照季節有不同的 之前有看過檸檬的"
島???SETODA	4	645		紀念品商店	伴手禮	生口島?瀨戶田	
Wakaba	4.2	202	?1000-2000	海鮮	餐廳	生口島?瀨戶田	
尾道柑橘工房SETODA	4.9	63	?1-1000	咖啡店	餐廳	生口島?瀨戶田	
未來心之丘	4.2	2016		旅遊景點	景點	生口島?瀨戶田	
吳市海事歷史科學館	4.4	16265		古蹟博物館	景點	吳市	
海?Yeah！！！	4	175	?2000-6000	居酒屋	餐廳	吳市	最想吃
定食屋百菜旬 ??????店	4	80	?1000-2000	食堂與定食餐廳	餐廳	吳市	
鳥八茶屋	4.2	362	?3000-7000	日式串燒	餐廳	吳市	
萬吉	4.4	41	?1-1000	御好燒餐廳	餐廳	吳市	
Udon-bo	4.2	109	?1000-2000	烏冬	餐廳	吳市	
???笑店	4.6	52	?2000-5000	居酒屋	餐廳	吳市	
?????????coppe	4.8	9	?1-1000	麵包圈店	餐廳	吳市	
KUU re:BAGEL	4.3	12	?1-1000	麵包圈店	餐廳	吳市	
Itsuka	4.1	491	?1000-2000	拉麵	餐廳	吳市	
Edel Weiss	4.3	602	$$	西點	其他	吳市	
Cinema Onomichi	4.3	198		戲院	其他	尾道市區	可以拿一些海報的感覺
Takahara Seikichi diner	4.4	224	?3000-7000	居酒屋	餐廳	尾道市區	晚餐好選擇
Yard Cafe ONOMICHI U2	4.3	59	?1-1000	咖啡店	餐廳	尾道市區	
小野貓點心鋪 （人中之龍6布丁）	4.4	847	$$	甜品店	餐廳	尾道市區	
岡村春子商店-魚春	4.5	268	?1-1000	日本菜	餐廳	尾道市區	看得到港口的日式定食，魚，、炸牡蠣
POUR specialty coffee (a new big store in the arcade .)	4.7	586	?1-1000	咖啡店	餐廳	尾道市區	自己烘豆非常好喝
尾道浪漫珈琲 本店	4.1	698	?1-1000	咖啡店	餐廳	尾道市區	
un !	4.3	88	?1-1000	咖啡店	餐廳	尾道市區	可以邊走邊吃 很可愛的甜點；店家位置在軌道旁邊
Toto-an	4.3	174	?1000-2000	咖啡店	餐廳	尾道市區	
onomichi brewery	4.5	84			餐廳	尾道市區	啤酒廠；用瀨戶內的各種柑橘類做的水果啤酒！老闆夫婦都很好聊，可以自己帶小零食去配酒∼
Bunki	4.7	44	?1000-2000	咖啡店	餐廳	尾道市區	細膩文青風格
???Cafe	4.3	33	?1-1000	咖啡店	餐廳	尾道市區	下午的話光影很漂亮
山海豆花 尾道飴屋小路店	4.9	96	?1-1000	點心	餐廳	尾道市區	台灣人開的台灣豆花(有時間再去；是台灣復古不是日式復古)
Onomichi Yokocho	4.7	1259	?1000-2000	海鮮	餐廳	尾道市區	
Koro Bakery	4.4	835	?1-1000	餅店	餐廳	尾道市區	
LIEN ONOMICHI caf?&beansstore	4.8	56	?1000-2000	咖啡店	餐廳	尾道市區	
SEN COFFEE	4.9	49	?1-1000	咖啡店	餐廳	尾道市區	大窗景 很漂亮 拉花超美
Nekonotepan factory	4.4	451	?1-1000	餅店	餐廳	尾道市區	
Onomichi Guest House Anago-no-Nedoko	4.2	310		1 星級飯店	餐廳	尾道市區	"古民家改裝而成的Guesthouse。宿舍型式的Guesthouse，
有非常具有魅力的入住價格。
設有共用廚房、共用休息室「ANAGO Saloon」，
有著如同在家裡的氣氛。
也推薦在館內設置的咖啡廳「AKUBI Cafe」享用早餐。"
見晴亭	4.4	463		2 星級飯店	餐廳	尾道市區	"尾道的熱門咖啡廳；二樓是民宿；視野很好；
早上從千光寺下來可以順便喝茶；窗邊位子比較不會有人"
Onomichi Creators' Market	4.9	17		雜貨舖	伴手禮	尾道市區	風格簡約可愛；有充滿尾道風格的設計品
?????????? ???????	4.8	36		糕餅店	其他	其他	西點
Cafe Classic	4.1	119	?1000-2000	咖啡店	餐廳	其他	想吃草莓三明治
Rakushosakaba goji?goji Nakamachiten	3.7	39	?2000-3000	居酒屋	餐廳	其他	
mysa minnen	4.3	8	?1000-2000	咖啡店	餐廳	其他	
Archive Coffee	4.4	368	?1-1000	咖啡店	餐廳	其他	
Fukuma	4.8	95	?1000-2000	餐廳	餐廳	其他	
Kansuke	4.9	43	?1000-2000	餐廳	餐廳	其他	
Chika	4.8	297	?1-1000	御好燒餐廳	餐廳	其他	
Soei	4.9	183	?1-1000	御好燒餐廳	餐廳	其他	
八昌	4.2	1754	?1000-2000	御好燒餐廳	餐廳	其他	
富?	4.8	208	?2000-6000	關東煮餐廳	餐廳	其他	
喫茶 ????	4.4	13	?1000-2000	咖啡店	餐廳	其他	
Wildman Bagel	4.5	496	?1-1000	麵包圈店	餐廳	其他	
???壽司	4.8	113	?3000-4000	壽司	餐廳	其他	熱情老闆娘
6?me	4.4	54	?4000-10000	小餐館	餐廳	其他	
Marimekko -免稅店-	4.3	31		時裝店	其他	其他	
LUCKY BAKERY	4.6	345	?1-1000	餅店	餐廳	其他	"要去買,招牌是牡蠣口味炸麵包,蘋果派跟可頌也好吃(可頌非常酥脆)"
Kihachi Cafe Fukuya Hacch?bori Honten	4.2	140	?1000-2000	咖啡店	餐廳	其他	
KAKIWAI	4.2	216	?1000-2000	咖啡店	餐廳	其他	很美但蛋糕略貴 不過景色真的很棒 想拍
tuGiico	4.8	224	?1000-2000	生蠔料理	餐廳	其他	脆上推薦的生蠔吧
Atmosphere	4.1	44	?1000-2000	咖啡店	餐廳	其他	
?、?、?	4.7	27	?1-1000	日本熟食店	餐廳	其他	
????????????? ????	4.8	27	?1-1000	外賣自取餐廳	餐廳	其他	
珍味?小倉	4.8	17		紀念品商店	伴手禮	其他	可以拍吊著的魷魚
（有）富士本?	4.3	34		紀念品商店	伴手禮	其他	
Burger Go Rock'n	4.8	219	?1000-2000	漢堡飽	餐廳	其他	
?船酒? ??????胃???	4.1	274	?3000-6000	居酒屋	餐廳	其他	
Okatetsu Store	4.1	310		加工肉品店	其他	其他	
Turtle-necked Jizo	3.8	36		歷史地標	景點	其他	
Kokage Books	5	1		圖書館	其他	其他	
炭火割烹 淡? Tantan	5	37	超過 ?10000	餐廳	餐廳	其他	
Okame	4.7	35	?1000-2000	關東煮餐廳	餐廳	其他	站立式關東煮 感覺超好吃 店門口很復古
荒神堂???喜望峰	4.9	49	?1000-2000	咖啡店	餐廳	其他	蒸蔬菜定食 還有其他健康的餐點
Airship Coffee	4.8	91		咖啡店	餐廳	其他	
enishi	3.8	254	?1000-2000	日本菜	餐廳	其他	
炭烤牡蠣飯糰 和奏	4.1	144	?1-1000	日本菜	餐廳	其他	
食事處 Otani	4.1	250	?1000-2000	食堂與定食餐廳	餐廳	其他	
Yamatoya	4.2	176			其他	其他	暫時關閉
烤牡蠣 山根商店	4.1	73	?2000-3000	日本菜	餐廳	其他	
Okimitsu	4.6	177	?1000-2000	日本菜	餐廳	其他	
?羽樹	4.2	156	?1000-2000	海鰻料理餐廳	餐廳	其他	
咖啡廳 天心閣	4.5	381	?1000-2000	咖啡店	餐廳	其他	
星鰻飯 和田	4.3	559	?2000-3000	海鰻料理餐廳	餐廳	其他	
Gallery Miyazato Cafe	4.9	116	?1000-2000	咖啡店	餐廳	其他	
炸黑輪 三遊姬	4.5	101	?1-1000	日本菜	餐廳	其他	
????屋三?	4.7	54			其他	其他	食品供應商
Shimauma (Zebra) Bakery	4.2	133	?1-1000	餅店	餐廳	其他	
Sakuraya (Yakikaki)	4.5	50	?1-1000	生蠔料理	餐廳	其他	
穴子天丼?天丼 天?? ????	4.7	167	?2000-3000	日本菜	餐廳	其他	
食事處 ??花	4.3	443	?1000-2000	食堂與定食餐廳	餐廳	其他	
Akushu Restaurant / 握手?????	4.5	99	?3000-8000	餐廳	餐廳	其他	
Oshokujidokoro Kaishin'yu	4.2	145	?2000-3000	日本菜	餐廳	其他	
Marukoshi Shoten	4.8	22	?1-1000	外賣自取餐廳	餐廳	其他	
KAMPAKU	4.1	275	?1000-2000	肉類	餐廳	其他	想吃
???茶屋	4.3	86	?1-1000	咖啡店	餐廳	其他	
松田屋	4.7	64	$$	甜品店	餐廳	其他	
???? 白雪	4.4	37	?2000-3000	居酒屋	餐廳	其他	全品項450日圓 串燒 居酒屋
museum cafe-bar HYBRID (??? ???&??)	4.9	100	?1-1000	咖啡店	餐廳	其他	復古遊戲店
Ichi ? Jyuuissai	4.6	38	?1-1000	日本菜	餐廳	其他	想吃飯糰
Dumplings Center	4.1	317	?1000-2000	中國菜	餐廳	其他	
Kouchan	3.9	301	?1000-2000	拉麵	餐廳	其他	有吉愛店？
"Sorakin, the Sky Aquarium of Gold Tower"	3.8	1805		觀景台	景點	其他	
三明治和咖啡廳“CHERMSIDE”	4.3	175	?1000-2000	三文治	餐廳	其他	
Teranishi Coffee	4.8	998	?1000-2000	咖啡店	餐廳	其他	
Avail Saijo	3.9	251		時裝店	其他	東廣島（西條）	
山田屋 宮島有之浦店	4.7	10		日式糖果店	伴手禮	宮島	
遊鹿里茶屋	4.6	183	?1-1000	咖啡店	餐廳	宮島	
Rokaku Tea House (Hexagon Cafe)	4.7	389	?1000-2000	咖啡店	餐廳	宮島	
Fujitaya Anagomeshi (Conger Eel)	4.2	1157	?3000-4000	海鰻料理餐廳	餐廳	宮島	
BEAMS JAPAN 宮島	4.3	52		雜貨舖	伴手禮	宮島	
Miyajima Umaimonokan	4.2	422	$$	冰淇淋	餐廳	宮島	
宮島?大杓子	4.2	15		文化地標	景點	宮島	要去拍
etto宮島交流館 (宮島社區振興交流中心)	4.6	85		社區中心	景點	宮島	三樓眺望台
HAYASHIYA Miyajima cafe	4.2	191	?1000-2000	咖啡店	餐廳	宮島	
咖啡廳 Sarasvati	4.3	381	?1-1000	咖啡店	餐廳	宮島	
伊都岐咖啡	4.3	937	?1-1000	咖啡店	餐廳	宮島	
Nisikido Miyajima Store	4.4	80		和?子餐廳	餐廳	宮島	
Miyajima BARL ISSAI	4.1	153	?1000-2000	餐廳	餐廳	宮島	
Yakigaki No Hayashi	4.4	2023	?2000-4000	海鮮	餐廳	宮島	
Miyajima Anago Meshi Mametanuki	4.2	1476	?2000-3000	日本菜	餐廳	宮島	
宮島小道	4.4	66		糖果糕餅店	餐廳	宮島	
Miyajima Yokocho	4.5	463	?1-1000	海鮮	餐廳	宮島	
????????????????島店	4	13		玩具舖	其他	廣島市區	扭蛋
愛電王 廣島總店總館	4.2	3119		電器舖	其他	廣島市區	
?????????? ????? ?島本店	3.3	10		玩具模型店	其他	廣島市區	扭蛋
平和之門	4.3	178		旅遊景點	景點	廣島市區	
廣島紙鶴塔	4	4275		旅遊景點	景點	廣島市區	
「HIROSHIMA」文字??????	4.3	32		旅遊景點	景點	廣島市區	拍景點地標
OBSCURA COFFEE ROASTERS Station	4.3	53	?1-1000	咖啡店	餐廳	廣島市區	車站這邊最好喝的咖啡
??????? ???＆??? ?????島4階店	3.9	42	?1-1000	咖啡店	餐廳	廣島市區	星巴克的茶店
UNITED ARROWS green label relaxing 廣島minamoa店	3	2		時裝店	其他	廣島市區	
3COINS+plus ?????島店	4.1	8		雜貨舖	伴手禮	廣島市區	
RAGEBLUE Hiroshima Parco	3.8	20		時裝店	其他	廣島市區	
FREAK ' S STORE Hiroshimaparukoten	4.8	175		時裝店	其他	廣島市區	
CIAOPANIC TYPY ???????島店	3.7	9		時裝店	其他	廣島市區	
廣島PARCO 本館	3.8	3999		商場	其他	廣島市區	7樓-smelly飾品
R Baker HiroPa	3.9	49	?1-1000	餅店	餐廳	廣島市區	
廣島燒 八昌	4.2	1005	?1000-2000	御好燒餐廳	餐廳	廣島市區	
廣島燒 新天地?????	4.1	760	?1000-2000	御好燒餐廳	餐廳	廣島市區	
茅乃舍 minamoa廣島店	4.6	20		日本雜貨店	伴手禮	廣島市區	毛乃舍
AKOMEYA TOKYO Minamoa廣島店	4.5	6		雜貨舖	伴手禮	廣島市區	
BREATH HIROSHIMA SPACE	4.8	125	?1-1000	咖啡店	餐廳	廣島市區	手沖咖啡 布丁
DOUBLE FLAT Hiropa!店	4.4	14	?1-2000	點心	餐廳	廣島市區	水果超多的冰
Teranishi Coffee Shop	4.5	419	?1-1000	咖啡店	餐廳	廣島市區	傳統日式咖啡
Denkosekka Takaramachi	3.6	648	?1000-2000	御好燒餐廳	餐廳	廣島市區	
Furu Furu Coffee Room	4.3	228	?1-1000	咖啡店	餐廳	廣島市區	昭和感
24/7 coffee&roaster ROASTERY HIROSHIMA	4.4	170	?1000-2000	咖啡店	餐廳	廣島市區	
廣島御好燒 Mitchan 總本店 八丁堀總店	4	2867	?1000-2000	御好燒餐廳	餐廳	廣島市區	脆上推廣島燒
Okonomiyaki Mitchan Sohonten Jizo-dori	4.1	917	?1000-2000	御好燒餐廳	餐廳	廣島市區	脆上推建廣島燒
Bagtown Coffee	4.6	154			餐廳	廣島市區	咖啡烘焙廠；脆上推薦
shimaji coffee LAB.	4.6	148	?1000-2000	咖啡店	餐廳	廣島市區	脆上推薦
Ristorante Mario	4	554	?2000-4000	意大利菜	餐廳	廣島市區	Ristorante Mario 很讚的義式餐廳超好吃
3COINS+plus ?島本通?	3.8	174		雜貨舖	伴手禮	廣島市區	
廣島和平紀念資料館	4.7	28845		戰爭博物館	景點	廣島市區	
原子彈爆炸圓頂屋	4.7	33940		戰爭紀念館	景點	廣島市區	
廣島LOFT	3.9	452	$$	雜貨舖	伴手禮	廣島市區	
Pok?mon Center Hiroshima	4.3	1431		玩具模型店	其他	廣島市區	
SENSE OF PLACE by URBAN RESEARCH ???????島府中店	5	1		服裝市場	其他	廣島府中町	
